Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
117	-499.09705	433.0171	-66.07997	-932.11414	-38.68179	121.58414	238.87407	-303.1284	561.5	437.2	233999	248.6946	100.92852	550.67865	-131.63979	-252.13405	67.097015	26502.215059757233
118	-246.28029	186.74702	-78.38819	-532.24084	-648.1342	699.4069	-12.26875	-1666.6213	527.25	545.4	235999	248.52844	103.553	569.81726	-147.28242	-252.00621	66.095345	26746.78887820244
119	-333.76987	283.62228	-19.618862	-706.8182	-311.68784	370.6567	-14.961243	-1102.8772	683.6667	606.8	237999	247.39581	104.541725	497.65027	-135.92442	-250.9915	65.13436	26994.106876134872
120	-290.0008	326.86655	-13.481113	-1010.17194	-187.50293	191.51671	-20.358696	-568.7798	347.125	523.1	239999	247.14992	105.65224	522.62946	-153.74019	-250.77367	66.180374	27233.246952056885
121	-584.9963	47.96454	-537.03174	-632.9608	-330.0267	390.7184	124.89589	-1119.8401	654.5	816.7	241999	246.62898	105.6062	498.82895	-140.1564	-250.18423	65.88752	27498.004450798035
122	-193.24983	170.94621	-27.711523	-422.02542	-284.9689	482.14734	111.49252	-1664.9976	518.25	628.6	243999	246.18094	105.8079	489.02646	-165.30632	-249.7116	67.98931	27749.680038928986
123	-160.3956	153.21829	-24.225992	-544.6478	-397.98618	492.15643	-19.416092	-1298.9791	213.25	425.0	245999	245.35	104.83319	534.86475	-158.44197	-248.93816	68.99976	27982.795659303665
124	-460.869	647.8904	-13.057351	-1700.2295	-244.98038	308.999	77.67808	-804.5586	439.2	519.4	247999	245.16821	103.55615	517.4592	-130.42268	-248.72018	66.57928	28221.69815301895
125	-216.9467	207.4134	-31.231207	-558.0299	-336.02545	351.61917	-46.351624	-1102.2295	518.25	456.2	249999	245.96072	102.25295	492.61526	-182.3206	-249.51344	63.40683	28459.424661636353
126	-361.4705	271.86853	-11.609254	-674.4829	-517.63385	378.43494	-91.839874	-1310.4192	671.3333	818.2	251999	246.88066	100.99759	514.00476	-154.05605	-250.39018	62.716534	28724.11229634285
127	-182.07838	179.09163	-17.594984	-454.96262	-355.73508	510.4562	131.61029	-1574.1354	441.4	586.8	253999	246.35846	99.53874	485.11816	-194.96013	-249.72179	60.88583	28975.388337373734
128	-369.73288	356.9805	-12.75238	-726.7134	-539.2349	759.99335	404.0963	-1648.3798	1000.0	1000.0	255999	244.35864	98.26621	486.04898	-175.73627	-247.73201	58.407845	29259.532767534256
129	-365.91678	311.2524	-54.664364	-677.1692	-364.76303	1045.5454	512.5919	-2416.599	1000.0	716.4	257999	242.69843	97.92828	518.0477	-122.60163	-245.98283	56.412712	29519.82734465599
130	33.05801	52.031887	105.036095	-16.172695	-530.49066	616.1975	489.0755	-1813.0164	676.0	805.1	259999	239.76326	96.83154	455.70648	-135.01003	-242.895	57.0944	29784.299389362335
131	-418.10538	467.4616	49.356224	-885.56696	-384.43954	408.88504	42.13223	-1094.2961	1000.0	1000.0	261999	235.7029	95.0604	529.9795	-176.78822	-238.81746	52.206295	30071.073108434677
132	-314.86404	312.28735	-2.5766985	-627.15137	-746.4451	695.22534	-20.542084	-2152.5154	1000.0	716.6	263999	232.55048	93.77492	503.35745	-145.55959	-235.58803	49.556305	30331.16020655632
133	-17.216156	137.99379	120.77763	-155.20995	-302.41266	584.4573	353.41125	-1820.8644	1000.0	426.6	265999	229.19664	93.43469	446.9385	-230.52052	-232.2716	48.567886	30566.634815216064
